SDG Regions,Average share of the built-up area of cities that is open space for public use for all (%) [a],Average share of urban population with convenient access to open public spaces (%) [b]
Australia and New Zealand ,21.4593573,81.4302091
Central Asia and Southern Asia ,15.36559633,40.07381449
Eastern Asia and South-eastern Asia ,15.32740673,37.92087496
Latin America and the Caribbean ,16.08534708,58.46345175
Northern America and Europe ,19.48220585,63.10729325
Oceania excluding Australia and New Zealand ,15.41462305,27.32529501
Sub-Saharan Africa ,13.36173982,25.14469634
Western Asia and Northern Africa ,15.98193068,43.38718384
