SDG Region,Country or Territory Name,Average share of the built-up area of cities that is open space for public use for all (%) [a],Average share of urban population with convenient access to open public spaces (%) [b]
Eastern Asia and South-eastern Asia ,Malaysia,15.45239643,22.35712701
Eastern Asia and South-eastern Asia ,Malaysia,18.48478011,52.99717895
Central Asia and Southern Asia ,Maldives,19.59260461,97.7282441
Sub-Saharan Africa ,Mali,15.95688182,76.73094393
Sub-Saharan Africa ,Mali,10.39994291,5.822689187
Sub-Saharan Africa ,Mali,13.96820056,33.51284121
Sub-Saharan Africa ,Mali,19.71249782,85.31939451
Sub-Saharan Africa ,Mali,11.47153006,28.04985886
Sub-Saharan Africa ,Mali,12.54736072,11.4100345
Sub-Saharan Africa ,Mali,12.28874644,13.56947041
Sub-Saharan Africa ,Mali,11.2613431,5.148103618
Northern America and Europe ,Malta,14.61463439,90.56203195
Sub-Saharan Africa ,Mauritania,14.43162146,22.35273097
Sub-Saharan Africa ,Mauritius,11.67986382,28.89167525
Latin America and the Caribbean ,Mexico,,56.54926666
Latin America and the Caribbean ,Mexico,7.017353834,
Latin America and the Caribbean ,Mexico,,52.06899945
Latin America and the Caribbean ,Mexico,3.897431723,
Latin America and the Caribbean ,Mexico,3.542256855,
Latin America and the Caribbean ,Mexico,8.32985894,
Latin America and the Caribbean ,Mexico,,81.244496
Latin America and the Caribbean ,Mexico,,56.62835138
Latin America and the Caribbean ,Mexico,4.159652934,
Latin America and the Caribbean ,Mexico,,71.39802154
Latin America and the Caribbean ,Mexico,6.056140006,
Latin America and the Caribbean ,Mexico,8.29525866,
Latin America and the Caribbean ,Mexico,10.80242252,
Latin America and the Caribbean ,Mexico,,46.25897488
Latin America and the Caribbean ,Mexico,,54.83941687
Latin America and the Caribbean ,Mexico,5.194574032,
Latin America and the Caribbean ,Mexico,,64.31419436
Latin America and the Caribbean ,Mexico,15.28300598,
Latin America and the Caribbean ,Mexico,,37.45053656
Latin America and the Caribbean ,Mexico,,72.50806969
Latin America and the Caribbean ,Mexico,4.677629434,
Latin America and the Caribbean ,Mexico,,42.88134155
Latin America and the Caribbean ,Mexico,,50.50032692
Latin America and the Caribbean ,Mexico,4.732179812,
Latin America and the Caribbean ,Mexico,,45.74970813
Latin America and the Caribbean ,Mexico,,43.17258329
Latin America and the Caribbean ,Mexico,8.29525866,
Latin America and the Caribbean ,Mexico,,62.35542157
Latin America and the Caribbean ,Mexico,8.06966043,
Latin America and the Caribbean ,Mexico,,84.9534574
Latin America and the Caribbean ,Mexico,9.142204597,
Latin America and the Caribbean ,Mexico,,56.17591229
Latin America and the Caribbean ,Mexico,,66.51634806
Latin America and the Caribbean ,Mexico,,51.94331883
Latin America and the Caribbean ,Mexico,7.033141631,
Latin America and the Caribbean ,Mexico,,48.66904332
Latin America and the Caribbean ,Mexico,8.798068325,
Latin America and the Caribbean ,Mexico,,53.81928556
Latin America and the Caribbean ,Mexico,,50.4940521
Latin America and the Caribbean ,Mexico,,72.58806103
Latin America and the Caribbean ,Mexico,,55.44204737
Latin America and the Caribbean ,Mexico,7.033141631,
Latin America and the Caribbean ,Mexico,6.309607713,
Latin America and the Caribbean ,Mexico,7.656746594,
Latin America and the Caribbean ,Mexico,7.051010964,
Latin America and the Caribbean ,Mexico,3.888164151,
Latin America and the Caribbean ,Mexico,4.875378074,
Latin America and the Caribbean ,Mexico,,33.2426522
Latin America and the Caribbean ,Mexico,,46.52786671
Latin America and the Caribbean ,Mexico,5.005439072,
Latin America and the Caribbean ,Mexico,,71.79636967
Latin America and the Caribbean ,Mexico,6.940854156,
Latin America and the Caribbean ,Mexico,,27.83978898
Latin America and the Caribbean ,Mexico,,52.02389876
Latin America and the Caribbean ,Mexico,3.93600039,
Latin America and the Caribbean ,Mexico,6.062086652,
Latin America and the Caribbean ,Mexico,4.07499178,
Latin America and the Caribbean ,Mexico,,26.7113529
Latin America and the Caribbean ,Mexico,8.598571513,
Latin America and the Caribbean ,Mexico,,36.42655246
Latin America and the Caribbean ,Mexico,,87.84194781
Latin America and the Caribbean ,Mexico,,45.76133565
Latin America and the Caribbean ,Mexico,5.112394249,
Latin America and the Caribbean ,Mexico,,81.91481047
Latin America and the Caribbean ,Mexico,,57.03561935
Latin America and the Caribbean ,Mexico,,64.25329
Latin America and the Caribbean ,Mexico,,55.44688438
Latin America and the Caribbean ,Mexico,,51.8574442
Latin America and the Caribbean ,Mexico,6.147115084,
Latin America and the Caribbean ,Mexico,,52.52381563
Latin America and the Caribbean ,Mexico,6.82151667,
Latin America and the Caribbean ,Mexico,,27.06102791
Latin America and the Caribbean ,Mexico,,47.95565884
Latin America and the Caribbean ,Mexico,,37.10854434
Latin America and the Caribbean ,Mexico,,89.56965541
Latin America and the Caribbean ,Mexico,,60.29635103
Latin America and the Caribbean ,Mexico,6.64750636,
Latin America and the Caribbean ,Mexico,6.940854156,
Latin America and the Caribbean ,Mexico,4.546069361,
Latin America and the Caribbean ,Mexico,8.598571513,
Latin America and the Caribbean ,Mexico,4.546069361,
Northern America and Europe ,Monaco,29.25773952,99.58017333
Eastern Asia and South-eastern Asia ,Mongolia,14.11995817,15.13931809
Northern America and Europe ,Montenegro,17.19836235,54.46468788
Western Asia and Northern Africa ,Morocco,11.98721624,31.23242015
Western Asia and Northern Africa ,Morocco,9.007691757,90.15025042
Western Asia and Northern Africa ,Morocco,6.441185654,47.51660867
Western Asia and Northern Africa ,Morocco,14.06764879,36.64122138
Western Asia and Northern Africa ,Morocco,9.25,86.04639191
Western Asia and Northern Africa ,Morocco,11.78097528,37.89854829
Western Asia and Northern Africa ,Morocco,11.22761101,5.06957197
Western Asia and Northern Africa ,Morocco,22.20458444,70.42682934
Western Asia and Northern Africa ,Morocco,17.22330097,39.69934094
Western Asia and Northern Africa ,Morocco,14.33878984,34.82428055
Western Asia and Northern Africa ,Morocco,16.45596828,48.07826597
Western Asia and Northern Africa ,Morocco,16.43397451,94.14814815
Western Asia and Northern Africa ,Morocco,23.34999601,30.81002581
Western Asia and Northern Africa ,Morocco,16.09259259,43.41116784
Western Asia and Northern Africa ,Morocco,20.49556001,40.23843694
Western Asia and Northern Africa ,Morocco,15.79156084,34.77374603
Western Asia and Northern Africa ,Morocco,26.50334076,28.96482122
Western Asia and Northern Africa ,Morocco,6.976853695,42.81857233
Western Asia and Northern Africa ,Morocco,11.76277076,29.96811905
Sub-Saharan Africa ,Mozambique,,23.74616172
Sub-Saharan Africa ,Mozambique,,28.01611813
Sub-Saharan Africa ,Mozambique,,9.43974048
Sub-Saharan Africa ,Mozambique,11.26734381,10.12027648
Sub-Saharan Africa ,Mozambique,17.16303225,15.34834797
Sub-Saharan Africa ,Mozambique,15.72254045,25.49912434
Sub-Saharan Africa ,Mozambique,18.45176341,10.80762452
Sub-Saharan Africa ,Mozambique,,13.75050736
Sub-Saharan Africa ,Mozambique,14.17933092,9.306016505
Sub-Saharan Africa ,Mozambique,14.40141883,49.89163054
Eastern Asia and South-eastern Asia ,Myanmar,,45.44437505
Eastern Asia and South-eastern Asia ,Myanmar,,7.942690335
Eastern Asia and South-eastern Asia ,Myanmar,14.99670527,13.58575433
Eastern Asia and South-eastern Asia ,Myanmar,13.08138034,28.60712604
Eastern Asia and South-eastern Asia ,Myanmar,12.23218697,12.74407942
Eastern Asia and South-eastern Asia ,Myanmar,11.6800097,37.17003538
Eastern Asia and South-eastern Asia ,Myanmar,13.63617751,30.65929114
Eastern Asia and South-eastern Asia ,Myanmar,15.46040545,22.72851975
Eastern Asia and South-eastern Asia ,Myanmar,21.77731537,42.47331119
Eastern Asia and South-eastern Asia ,Myanmar,17.19893609,16.80500809
Eastern Asia and South-eastern Asia ,Myanmar,13.53556979,24.09215112
Eastern Asia and South-eastern Asia ,Myanmar,15.23395502,29.93855045
Eastern Asia and South-eastern Asia ,Myanmar,17.01959811,16.24152301
Sub-Saharan Africa ,Namibia,16.64058429,25.70416357
Central Asia and Southern Asia ,Nepal,12.88221149,21.35962225
Central Asia and Southern Asia ,Nepal,13.44696482,23.15701192
Central Asia and Southern Asia ,Nepal,13.08486899,29.70077101
Central Asia and Southern Asia ,Nepal,11.88388953,16.70282954
Central Asia and Southern Asia ,Nepal,19.75880823,11.89393053
Central Asia and Southern Asia ,Nepal,15.07564008,11.03988604
Central Asia and Southern Asia ,Nepal,14.7286614,33.53241679
Central Asia and Southern Asia ,Nepal,14.92996697,33.17754673
Central Asia and Southern Asia ,Nepal,13.59223593,23.92719716
Central Asia and Southern Asia ,Nepal,13.45736296,45.09355795
Central Asia and Southern Asia ,Nepal,22.60468438,74.45641642
Northern America and Europe ,Netherlands (Kingdom of the),21.87883335,77.62423856
Northern America and Europe ,Netherlands (Kingdom of the),16.4915257,82.65864356
Northern America and Europe ,Netherlands (Kingdom of the),19.48340656,90.684536
Northern America and Europe ,Netherlands (Kingdom of the),20.61041196,84.65704736
Northern America and Europe ,Netherlands (Kingdom of the),24.97689645,89.18074805
Northern America and Europe ,Netherlands (Kingdom of the),22.4309609,91.93266768
Australia and New Zealand ,New Zealand,20.70127628,88.44423455
Australia and New Zealand ,New Zealand,26.36189852,83.36968938
Australia and New Zealand ,New Zealand,19.02460226,76.82826185
Australia and New Zealand ,New Zealand,18.55828216,86.4302511
Australia and New Zealand ,New Zealand,17.94638662,78.14001562
Australia and New Zealand ,New Zealand,27.9215005,90.28060655
Australia and New Zealand ,New Zealand,18.48008128,87.0658628
Australia and New Zealand ,New Zealand,24.06368639,83.92910961
Australia and New Zealand ,New Zealand,,71.13508423
Australia and New Zealand ,New Zealand,21.03074054,82.46338725
Latin America and the Caribbean ,Nicaragua,11.96049554,34.1689359
Latin America and the Caribbean ,Nicaragua,17.10141997,22.95339009
Latin America and the Caribbean ,Nicaragua,15.65601642,26.23090752
Latin America and the Caribbean ,Nicaragua,16.44007122,68.63459038
Latin America and the Caribbean ,Nicaragua,15.84424824,52.23694077
Latin America and the Caribbean ,Nicaragua,13.44271272,46.8093461
Latin America and the Caribbean ,Nicaragua,12.28762077,69.54787956
Latin America and the Caribbean ,Nicaragua,16.34151251,48.46510584
Sub-Saharan Africa ,Niger,17.63697266,45.75990048
Sub-Saharan Africa ,Niger,16.46170022,32.95953932
Sub-Saharan Africa ,Niger,20.74115983,32.04278729
Sub-Saharan Africa ,Niger,15.3790956,26.09332577
Sub-Saharan Africa ,Niger,19.26433305,13.77943299
Sub-Saharan Africa ,Nigeria,11.23063954,2.859299018
Sub-Saharan Africa ,Nigeria,8.99891676,10.40086861
Sub-Saharan Africa ,Nigeria,16.42590259,3.895494188
Sub-Saharan Africa ,Nigeria,8.500922121,4.300611448
Sub-Saharan Africa ,Nigeria,11.52945268,4.886825062
Sub-Saharan Africa ,Nigeria,11.33481649,2.266747952
Sub-Saharan Africa ,Nigeria,11.26636167,12.64467797
Sub-Saharan Africa ,Nigeria,12.55730424,20.64985036
Sub-Saharan Africa ,Nigeria,13.84859763,8.888805966
Sub-Saharan Africa ,Nigeria,7.495414532,1.206031876
Sub-Saharan Africa ,Nigeria,9.226390955,8.130336496
Sub-Saharan Africa ,Nigeria,11.37516865,8.009264225
Sub-Saharan Africa ,Nigeria,12.52303128,8.146722689
Sub-Saharan Africa ,Nigeria,14.26284711,6.945655672
Sub-Saharan Africa ,Nigeria,16.77629497,13.48202555
Sub-Saharan Africa ,Nigeria,11.12445852,7.318356588
Northern America and Europe ,North Macedonia,13.66479337,43.03826244
,Northern America and Europe,,65.83925479
Oceania excluding Australia and New Zealand ,Northern Mariana Islands,18.36256842,35.64698382
Northern America and Europe ,Norway,27.75312067,63.99978175
Northern America and Europe ,Norway,,64
Northern America and Europe ,Norway,,58
Northern America and Europe ,Norway,32.19315673,58.00005241
Northern America and Europe ,Norway,,52
Northern America and Europe ,Norway,24.81130086,53.99960373
Northern America and Europe ,Norway,,53
Northern America and Europe ,Norway,26.1191546,55.00033616
Northern America and Europe ,Norway,,57
Northern America and Europe ,Norway,34.6953405,69.99969468
Northern America and Europe ,Norway,30,58
Northern America and Europe ,Norway,,56
Northern America and Europe ,Norway,32.39376924,56.00003759
Northern America and Europe ,Norway,27.15026867,56.99986274
Northern America and Europe ,Norway,,57
Northern America and Europe ,Norway,27.19571446,59.00005611
Northern America and Europe ,Norway,,55
Northern America and Europe ,Norway,27.19571446,59.00005611
Northern America and Europe ,Norway,25.67896539,43.99963357
Northern America and Europe ,Norway,,46
Northern America and Europe ,Norway,29.97130802,66.00020528
Northern America and Europe ,Norway,,71
,Oceania excluding Australia and New Zealand,,30.46573744
Western Asia and Northern Africa ,Oman,14.98014439,13.19543176
Western Asia and Northern Africa ,Oman,21.72376094,13.23599314
Western Asia and Northern Africa ,Oman,19.05467084,20.3132739
Western Asia and Northern Africa ,Oman,10.64179026,18.18558409
Central Asia and Southern Asia ,Pakistan,12.79364216,20.00051395
Central Asia and Southern Asia ,Pakistan,7.990446676,11.96116896
Central Asia and Southern Asia ,Pakistan,,15.7542264
Central Asia and Southern Asia ,Pakistan,11.99127758,17.64514819
Central Asia and Southern Asia ,Pakistan,14.84704698,23.10546809
Central Asia and Southern Asia ,Pakistan,12.22064374,23.1517012
Central Asia and Southern Asia ,Pakistan,11.94762607,16.39833035
Central Asia and Southern Asia ,Pakistan,13.59242139,34.08082763
Central Asia and Southern Asia ,Pakistan,15.0754536,18.3206788
Central Asia and Southern Asia ,Pakistan,9.228594432,19.70991018
Central Asia and Southern Asia ,Pakistan,14.44910167,42.16484397
Central Asia and Southern Asia ,Pakistan,20.29290829,31.26779048
Central Asia and Southern Asia ,Pakistan,5.024826436,23.71030147
Central Asia and Southern Asia ,Pakistan,15.05783851,45.38852306
Central Asia and Southern Asia ,Pakistan,14.19572355,15.85471007
Central Asia and Southern Asia ,Pakistan,8.369518553,10.26026653
Central Asia and Southern Asia ,Pakistan,15.61367906,47.29401067
Central Asia and Southern Asia ,Pakistan,12.60588817,23.45924453
Central Asia and Southern Asia ,Pakistan,14.66485672,37.12433707
Central Asia and Southern Asia ,Pakistan,10.85343415,23.66614339
Central Asia and Southern Asia ,Pakistan,9.064125902,34.29963342
Central Asia and Southern Asia ,Pakistan,13.47008921,25.74532513
Central Asia and Southern Asia ,Pakistan,13.61629113,23.78958669
Central Asia and Southern Asia ,Pakistan,,11.51102773
Central Asia and Southern Asia ,Pakistan,9.813995469,12.78569746
Central Asia and Southern Asia ,Pakistan,12.04646477,29.86042823
Central Asia and Southern Asia ,Pakistan,13.61248431,28.4641216
Central Asia and Southern Asia ,Pakistan,15.45493391,31.89484649
Central Asia and Southern Asia ,Pakistan,,27.84119107
Central Asia and Southern Asia ,Pakistan,12.23528883,14.76957237
Central Asia and Southern Asia ,Pakistan,9.002839309,34.21915444
Latin America and the Caribbean ,Panama,10.02897433,26.27772823
Latin America and the Caribbean ,Panama,13.06665439,44.3004371
Latin America and the Caribbean ,Panama,9.550270122,29.25508447
Oceania excluding Australia and New Zealand ,Papua New Guinea,15.12261833,13.45598212
Oceania excluding Australia and New Zealand ,Papua New Guinea,17.06188333,40.77415978
Latin America and the Caribbean ,Paraguay,13.34774302,32.61723325
Latin America and the Caribbean ,Paraguay,14.31324426,34.94886377
Latin America and the Caribbean ,Peru,18.72849279,80.0582739
Latin America and the Caribbean ,Peru,20.18518649,74.3937236
Latin America and the Caribbean ,Peru,20.20748137,44.6419402
Latin America and the Caribbean ,Peru,25.49184149,73.40130483
Latin America and the Caribbean ,Peru,14.17293277,72.51529922
Latin America and the Caribbean ,Peru,20.92835838,58.94108231
Latin America and the Caribbean ,Peru,15.31184849,53.80523948
Latin America and the Caribbean ,Peru,14.55981169,30.39230923
Latin America and the Caribbean ,Peru,14.69012265,61.37115839
Latin America and the Caribbean ,Peru,16.14949148,91.82913624
Latin America and the Caribbean ,Peru,14.07179137,49.59633691
Latin America and the Caribbean ,Peru,12.45629051,41.53882464
Latin America and the Caribbean ,Peru,22.52953738,39.17189821
Latin America and the Caribbean ,Peru,19.69897683,80.74405753
Latin America and the Caribbean ,Peru,14.04422207,91.39150716
Latin America and the Caribbean ,Peru,18.95287678,50.32809549
Latin America and the Caribbean ,Peru,19.88813629,43.07436374
Latin America and the Caribbean ,Peru,17.60315417,81.61625384
Latin America and the Caribbean ,Peru,14.81361888,90.84644735
Latin America and the Caribbean ,Peru,16.00015425,64.03843478
Latin America and the Caribbean ,Peru,14.87047282,53.45752146
Eastern Asia and South-eastern Asia ,Philippines,20.35235922,31.22878105
Eastern Asia and South-eastern Asia ,Philippines,10.74036257,29.86482917
Eastern Asia and South-eastern Asia ,Philippines,15.63118542,13.92481945
Eastern Asia and South-eastern Asia ,Philippines,19.74407611,40.18342979
Eastern Asia and South-eastern Asia ,Philippines,14.65338525,34.34959968
Eastern Asia and South-eastern Asia ,Philippines,11.61262999,28.9607332
Eastern Asia and South-eastern Asia ,Philippines,11.10684539,28.74719316
Eastern Asia and South-eastern Asia ,Philippines,12.41907324,41.79645902
Eastern Asia and South-eastern Asia ,Philippines,12.76447713,38.61569702
Northern America and Europe ,Poland,28.13861472,66.13677394
Northern America and Europe ,Poland,43.27012489,73.58524135
Northern America and Europe ,Poland,27.30057561,61.57784247
Northern America and Europe ,Poland,16.59827339,58.80832256
Northern America and Europe ,Poland,53.0717341,86.40948731
Northern America and Europe ,Poland,34.21550408,59.83560902
Northern America and Europe ,Poland,27.51699801,78.02720474
Northern America and Europe ,Poland,24.14416064,72.34504148
Northern America and Europe ,Poland,8.39244586,77.79878508
Northern America and Europe ,Poland,21.28822176,72.48363428
Northern America and Europe ,Poland,22.68481679,62.27263181
Northern America and Europe ,Poland,37.9,67.70853094
Northern America and Europe ,Poland,32.30210952,72.5686421
Northern America and Europe ,Poland,11.24293837,58.93060863
Northern America and Europe ,Poland,26.15034179,69.20054037
Northern America and Europe ,Poland,10.38639363,55.04186022
Northern America and Europe ,Poland,28.45793552,73.96031569
Northern America and Europe ,Poland,36.17653818,64.26818617
Northern America and Europe ,Poland,30.78713039,87.95031021
Northern America and Europe ,Poland,19.53563861,74.95250556
Northern America and Europe ,Poland,58.21688567,74.80725624
Northern America and Europe ,Portugal,21.69177232,87.42410412
Northern America and Europe ,Portugal,18.01751536,57.43456995
Latin America and the Caribbean ,Puerto Rico,14.04909837,39.95654962
Western Asia and Northern Africa ,Qatar,21.77883977,
Western Asia and Northern Africa ,Qatar,11.81894384,
Western Asia and Northern Africa ,Qatar,26.58621352,
Western Asia and Northern Africa ,Qatar,16.83168317,
Western Asia and Northern Africa ,Qatar,24.43935559,
Western Asia and Northern Africa ,Qatar,31.3002391,
Western Asia and Northern Africa ,Qatar,24.27794264,
Western Asia and Northern Africa ,Qatar,16.87427737,
Western Asia and Northern Africa ,Qatar,25.65570181,
Western Asia and Northern Africa ,Qatar,5.189709055,
Western Asia and Northern Africa ,Qatar,34.49197861,
Western Asia and Northern Africa ,Qatar,12.47806267,
Western Asia and Northern Africa ,Qatar,24.43935559,
Western Asia and Northern Africa ,Qatar,14.88600439,
Western Asia and Northern Africa ,Qatar,22.73006135,
Western Asia and Northern Africa ,Qatar,16.54472925,
Eastern Asia and South-eastern Asia ,Republic of Korea,14.77169901,48.65968962
Eastern Asia and South-eastern Asia ,Republic of Korea,14.55722441,31.16303954
Eastern Asia and South-eastern Asia ,Republic of Korea,23.06263382,69.45032715
Eastern Asia and South-eastern Asia ,Republic of Korea,22.80964061,58.37924908
Eastern Asia and South-eastern Asia ,Republic of Korea,18.96651778,65.3727926
Eastern Asia and South-eastern Asia ,Republic of Korea,12.55964179,50.22815258
Eastern Asia and South-eastern Asia ,Republic of Korea,20.80644214,38.39141185
Eastern Asia and South-eastern Asia ,Republic of Korea,15.73021096,48.75343275
Northern America and Europe ,Republic of Moldova,12.7843092,33.12921679
Northern America and Europe ,Republic of Moldova,20.02823851,47.36646698
Northern America and Europe ,Republic of Moldova,14.83116957,60.92073691
Northern America and Europe ,Romania,14.75403177,51.5300417
Northern America and Europe ,Romania,10.124528,33.08810033
Northern America and Europe ,Romania,14.24809636,67.72130184
Northern America and Europe ,Romania,13.51231529,67.58931642
Northern America and Europe ,Romania,15.41882349,50.24978654
Northern America and Europe ,Romania,20.8115191,54.09948465
Northern America and Europe ,Romania,13.58368725,50.16980194
Northern America and Europe ,Romania,15.82297968,80.51616957
Northern America and Europe ,Romania,11.60646794,64.44822838
Northern America and Europe ,Romania,16.64388,60.63367551
Northern America and Europe ,Romania,14.8210261,66.7997569
Northern America and Europe ,Romania,24.15650372,19.6354357
Northern America and Europe ,Romania,14.34615684,73.67089764
Northern America and Europe ,Romania,11.37114359,71.27988962
Northern America and Europe ,Romania,14.20335333,48.75685094
Northern America and Europe ,Romania,12.82416288,36.25793801
Northern America and Europe ,Russian Federation,15.81068834,42.21750196
Northern America and Europe ,Russian Federation,13.6310051,33.93198019
Northern America and Europe ,Russian Federation,14.58472086,65.50007404
Northern America and Europe ,Russian Federation,15.85465809,44.78988605
Northern America and Europe ,Russian Federation,19.15366888,50.79808378
Northern America and Europe ,Russian Federation,15.83983019,44.63241674
Northern America and Europe ,Russian Federation,15.08005497,33.79225291
Northern America and Europe ,Russian Federation,14.58908017,37.09668008
Northern America and Europe ,Russian Federation,16.81346105,62.52692717
Northern America and Europe ,Russian Federation,15.43564711,44.1469715
Northern America and Europe ,Russian Federation,15.560479,24.5106535
Northern America and Europe ,Russian Federation,12.84932565,55.7734788
Northern America and Europe ,Russian Federation,13.65292087,58.70124948
Northern America and Europe ,Russian Federation,22.70250646,73.7343597
Northern America and Europe ,Russian Federation,14.91411712,57.40463697
Northern America and Europe ,Russian Federation,16.84244634,45.51016251
Northern America and Europe ,Russian Federation,17.12172421,60.83298054
Northern America and Europe ,Russian Federation,18.84927973,50.91231372
Northern America and Europe ,Russian Federation,11.55015706,37.85889119
Northern America and Europe ,Russian Federation,24.55781091,83.3088465
Northern America and Europe ,Russian Federation,13.51945428,37.59224621
Northern America and Europe ,Russian Federation,16.24519026,46.34708415
Northern America and Europe ,Russian Federation,22.43033107,40.94043007
Northern America and Europe ,Russian Federation,12.35902799,38.82862261
Northern America and Europe ,Russian Federation,14.28012784,46.90216758
Northern America and Europe ,Russian Federation,23.30835246,64.23628655
Northern America and Europe ,Russian Federation,17.47025412,41.51483138
Northern America and Europe ,Russian Federation,16.07823319,43.74804302
Sub-Saharan Africa ,Rwanda,10.07146991,4.809606301
Sub-Saharan Africa ,Rwanda,15.9184544,12.22144259
Sub-Saharan Africa ,Rwanda,11.16067986,21.75856842
Sub-Saharan Africa ,Rwanda,10.27811445,6.397082445
Sub-Saharan Africa ,Rwanda,11.5752353,21.58602838
Sub-Saharan Africa ,Rwanda,12.82725048,48.90058553
Sub-Saharan Africa ,Rwanda,9.277977463,35.29962547
Sub-Saharan Africa ,Rwanda,10.67874439,9.470053597
Latin America and the Caribbean ,Saint Kitts and Nevis,16.94668747,44.90850612
Latin America and the Caribbean ,Saint Lucia,10.47749177,26.65612477
Latin America and the Caribbean ,Saint Vincent and the Grenadines,11.90852122,14.76565355
Oceania excluding Australia and New Zealand ,Samoa,9.602859988,17.21189478
Northern America and Europe ,San Marino,10.21026997,60.0951413
Sub-Saharan Africa ,Sao Tome and Principe,,47.42624565
Western Asia and Northern Africa ,Saudi Arabia,20.52930672,18.30216566
Western Asia and Northern Africa ,Saudi Arabia,23.24650972,44.87358681
Western Asia and Northern Africa ,Saudi Arabia,18.80748043,14.25707456
Western Asia and Northern Africa ,Saudi Arabia,,9.9
Western Asia and Northern Africa ,Saudi Arabia,17.60753422,17.61667804
Western Asia and Northern Africa ,Saudi Arabia,16.97429973,34.00359226
Western Asia and Northern Africa ,Saudi Arabia,14.41648607,20.73915457
Western Asia and Northern Africa ,Saudi Arabia,20.84780566,47.58529685
Western Asia and Northern Africa ,Saudi Arabia,23.13786539,66.98965963
Western Asia and Northern Africa ,Saudi Arabia,17.69586265,22.16013005
Western Asia and Northern Africa ,Saudi Arabia,16.05904721,30.05198995
Western Asia and Northern Africa ,Saudi Arabia,17.16902161,24.10886313
Western Asia and Northern Africa ,Saudi Arabia,14.75484229,24.10985903
Western Asia and Northern Africa ,Saudi Arabia,13.32395603,22.40357309
Western Asia and Northern Africa ,Saudi Arabia,23.37397349,53.79207008
Western Asia and Northern Africa ,Saudi Arabia,19.92304008,13.40294377
Western Asia and Northern Africa ,Saudi Arabia,14.9129901,23.55842875
Sub-Saharan Africa ,Senegal,16.07804991,92.53368715
Sub-Saharan Africa ,Senegal,22.00866152,32.04143815
Sub-Saharan Africa ,Senegal,15.00315121,44.05628391
Sub-Saharan Africa ,Senegal,16.12633546,45.84861621
Sub-Saharan Africa ,Senegal,20.40897676,66.92567012
Sub-Saharan Africa ,Senegal,,61
Sub-Saharan Africa ,Senegal,14.82356083,55.65887104
Sub-Saharan Africa ,Senegal,13.25965333,43.583215
Sub-Saharan Africa ,Senegal,12.48176448,44.36804697
Northern America and Europe ,Serbia,11.83830264,63.83466042
Northern America and Europe ,Serbia,18.48400323,36.82004977
Northern America and Europe ,Serbia,18.10141193,44.96046511
Northern America and Europe ,Serbia,15.36672638,57.19647205
Northern America and Europe ,Serbia,16.15891882,73.16427291
Northern America and Europe ,Serbia,14.89151537,50.33940883
Northern America and Europe ,Serbia,11.65037519,37.55834133
Northern America and Europe ,Serbia,16.17850782,48.29391404
Sub-Saharan Africa ,Seychelles,11.27569003,25.3632307
Sub-Saharan Africa ,Sierra Leone,13.01417145,27.95752997
Sub-Saharan Africa ,Sierra Leone,9.037606734,12.29922879
Sub-Saharan Africa ,Sierra Leone,9.869350349,13.96816965
Eastern Asia and South-eastern Asia ,Singapore,19.12294623,70.26102718
Northern America and Europe ,Slovakia,26.13911365,73.87576418
Northern America and Europe ,Slovenia,20.66750846,55.21212262
Oceania excluding Australia and New Zealand ,Solomon Islands,,19.01551771
Sub-Saharan Africa ,Somalia,13.0303626,39.90718028
Sub-Saharan Africa ,Somalia,17.83748053,20.13493283
Sub-Saharan Africa ,Somalia,13.74298535,57.22421151
Sub-Saharan Africa ,Somalia,18.95720238,3.350915089
Sub-Saharan Africa ,South Africa,22.1745268,62.20819002
Sub-Saharan Africa ,South Africa,15.72125533,23.01241607
Sub-Saharan Africa ,South Africa,14.14397859,35.95321414
Sub-Saharan Africa ,South Africa,16.31716629,40.2999361
Sub-Saharan Africa ,South Africa,14.77926261,15.40278184
Sub-Saharan Africa ,South Africa,12.56918079,14.52746202
Sub-Saharan Africa ,South Africa,12.38740662,16.03713939
Sub-Saharan Africa ,South Africa,14.62630175,38.50136288
Sub-Saharan Africa ,South Sudan,14.85919603,3.460096208
Northern America and Europe ,Spain,18.24604574,88.42923154
Northern America and Europe ,Spain,14.104675,86.34903251
Northern America and Europe ,Spain,21.66447594,92.97530484
Northern America and Europe ,Spain,22.64990036,63.12604019
Northern America and Europe ,Spain,22.56032537,91.58351959
Northern America and Europe ,Spain,21.47235984,93.30001476
Northern America and Europe ,Spain,28.17172718,93.40578968
Central Asia and Southern Asia ,Sri Lanka,19.21332716,51.36798373
Central Asia and Southern Asia ,Sri Lanka,9.187543494,58.21440609
Central Asia and Southern Asia ,Sri Lanka,12.52945035,55.74963926
Central Asia and Southern Asia ,Sri Lanka,,57.63536743
Central Asia and Southern Asia ,Sri Lanka,11.57942775,15.19955423
Central Asia and Southern Asia ,Sri Lanka,,34.69048531
Central Asia and Southern Asia ,Sri Lanka,9.378864253,38.39707219
Central Asia and Southern Asia ,Sri Lanka,9.621134634,47.57911607
Central Asia and Southern Asia ,Sri Lanka,12.3762627,33.93444149
Central Asia and Southern Asia ,Sri Lanka,,17.23320566
Central Asia and Southern Asia ,Sri Lanka,12.06707689,39.94592891
Central Asia and Southern Asia ,Sri Lanka,10.00556194,37.26267266
Central Asia and Southern Asia ,Sri Lanka,12.02820647,60.0727638
